Age,Assists,C_Apps,C_Assists,C_Clean_Sheets,C_Goals,C_Mins,Clean Sheets,Club,Club_Appearances,Country,Current_Value,F_Def,F_Drib,F_Pace,F_Passing,F_Phy,F_Rating,F_Shooting,F_WRate,FantasyLeaguePoints,FantasyLeagueVal,Goals,Goals_per_game,Mins_per_goal,Minutes_played_club,Name,Position,Previous_Value,Wiki_Views
25,0,5,0,3,0,472,,Athletic Bilbao,9,Spain,400 Th. ,68,65,71,62,75,69,47,High / Medium,23,2.5,0,0,,460,Enric Saborit,Left-Back,500 Th. ?,40
24,2,16,1,5,3,1370,,Valencia CF,24,France,"25,00 Mill. ",73,75,69,71,81,76,60,High / Medium,56,7,1,0.04,1714,1714,Geoffrey Kondogbia,Central Midfield,"18,00 Mill. ?",551
26,1,14,0,0,10,1211,,Valencia CF,20,Italy,"25,00 Mill. ",48,80,79,65,86,83,86,High / High,70,9,6,0.3,229,1376,Simone Zaza,Centre-Forward,"16,00 Mill. ?","1,024"
20,1,14,4,5,1,1180,,Valencia CF,23,Spain,"25,00 Mill. ",65,72,76,77,59,76,72,Medium / Medium,59,6.5,3,0.13,575,1724,Carlos Soler,Central Midfield,"7,50 Mill. ?",3
26,4,17,3,0,7,1423,,Valencia CF,19,Spain,"25,00 Mill. ",32,78,91,70,68,78,75,High / Medium,82,9.5,5,0.26,284,1419,Rodrigo,Centre-Forward,"7,50 Mill. ?",53
22,3,16,3,5,0,1380,,Valencia CF,27,Spain,"25,00 Mill. ",75,77,86,75,68,79,58,High / Medium,61,7,1,0.04,2.089,2089,José Gayá,Left-Back,"18,00 Mill. ?",0
28,9,17,3,6,1,1513,,Valencia CF,36,Spain,"18,00 Mill. ",61,77,52,87,71,82,77,Medium / Medium,64,13.9,5,0.14,639,3195,Dani Parejo,Central Midfield,"15,00 Mill. ?",2
31,0,11,0,3,0,994,,Valencia CF,27,Argentina,"15,00 Mill. ",84,65,43,66,80,83,64,Medium / Medium,36,3.5,3,0.11,780,2340,Ezequiel Garay,Centre-Back,"15,00 Mill. ?",365
26,1,14,2,5,0,1245,,Valencia CF,29,Spain,"15,00 Mill. ",75,72,83,69,71,77,50,High / Medium,51,6,2,0.07,1.11,2220,Martín Montoya,Right-Back,"10,00 Mill. ?",236
27,0,10,0,0,0,1182,,Valencia CF,19,Brazil,"15,00 Mill. ",80,64,66,65,76,79,49,Low / High,55,6,0,0,,1515,Gabriel Paulista,Centre-Back,"13,00 Mill. ?",566
25,1,7,0,4,0,610,,Valencia CF,27,Colombia,"15,00 Mill. ",80,64,75,56,77,79,40,Medium / High,29,2,0,0,,2075,Jeison Murillo,Centre-Back,"13,00 Mill. ?",262
22,3,5,1,0,5,619,,Valencia CF,29,Spain,"10,00 Mill. ",52,77,78,67,67,76,75,Medium / Medium,50,7,6,0.21,234,1403,Santi Mina,Centre-Forward,"6,00 Mill. ?",170
28,0,17,0,6,0,1530,6,Valencia CF,8,Brazil,"10,00 Mill. ",53,83,84,74,74,80,80,No,65,8,0,0,,674,Neto,Keeper,"6,00 Mill. ?",17
22,3,10,3,2,1,864,,Valencia CF,35,Brazil,"7,50 Mill. ",62,81,72,76,69,77,71,High / High,42,6,5,0.14,566,2832,Andreas Pereira,Left Wing,"5,00 Mill. ?","1,150"
23,0,5,0,1,0,477,,Valencia CF,18,Portugal,"4,00 Mill. ",75,55,64,59,72,74,49,Medium / Medium,17,2,0,0,,1489,Rúben Vezo,Centre-Back,"1,50 Mill. ?",89
27,0,1,0,0,0,90,1,Valencia CF,3,Spain,"2,50 Mill. ",58,79,74,70,72,75,73,No,2,2,0,0,,270,Jaume Doménech,Keeper,"2,50 Mill. ?",0
24,1,0,0,0,0,0,,Valencia CF,5,Spain,"1,50 Mill. ",47,75,76,70,50,72,67,High / Medium,0,2,2,0.4,84,167,Robert Ibáñez,Right Wing,"1,50 Mill. ?",69
25,9,13,4,6,4,1068,,Real Madrid,30,Spain,"75,00 Mill. ",54,89,71,82,62,86,83,High / Medium,73,14,10,0.33,164,1637,Isco,Attacking Midfield,"40,00 Mill. ?","2,456"
32,6,13,2,0,3,1156,,Real Madrid,29,Portugal,"120,00 Mill. ",34,92,91,84,82,95,95,High / Low,50,23,25,0.86,102,2544,Cristiano Ronaldo,Centre-Forward,"100,00 Mill. ?","32,002"
27,12,14,2,6,2,1185,,Real Madrid,29,Germany,"80,00 Mill. ",73,81,50,88,70,90,81,Medium / Medium,54,11.1,3,0.1,833,2500,Toni Kroos,Central Midfield,"70,00 Mill. ?","2,138"
28,3,5,1,0,4,498,,Real Madrid,19,Wales,"75,00 Mill. ",57,86,94,84,76,89,87,High / Medium,33,3.5,7,0.37,204,1428,Gareth Bale,Right Wing,"80,00 Mill. ?","4,811"
30,5,11,3,0,2,883,,Real Madrid,29,France,"50,00 Mill. ",22,83,80,80,77,87,85,Medium / Low,45,11.5,11,0.38,174,1913,Karim Benzema,Centre-Forward,"60,00 Mill. ?","3,270"
21,2,9,3,4,4,889,,Real Madrid,23,Spain,"50,00 Mill. ",39,83,78,83,61,84,79,Medium / Medium,63,6.5,3,0.13,359,1077,Marco Asensio,Left Wing,"30,00 Mill. ?","4,257"
25,5,10,0,3,0,900,,Real Madrid,23,Spain,"45,00 Mill. ",82,79,82,73,78,84,45,High / Medium,24,2,0,0,,2014,Daniel Carvajal,Right-Back,"32,00 Mill. ?",10
