Name,Position,Country,Age,Club,Current_Value,Previous_Value,Club_Appearances,Assists,Minutes_played_club,Mins_per_goal,Goals_per_game,Goals,Clean Sheets,URL,F_Rating,F_Pace,F_Shooting,F_Passing,F_Drib,F_Def,F_Phy,F_WRate
Antonio Luna,Left-Back,Spain,26,Levante UD,"1,50 Mill. ","2,00 Mill. ",26,5,2117,2.117,0.04,1,,http://www.futhead.com/18/players/?name=Antonio Luna&sort=vote_sum&bin_platform=ps,75,73,61,66,70,71,78,Medium / Medium
Charles,Centre-Forward,Brazil,33,SD Eibar,"1,50 Mill. ","1,50 Mill. ",21,1,1135,378,0.14,3,,http://www.futhead.com/18/players/?name=Charles&sort=vote_sum&bin_platform=ps,81,79,78,87,83,65,75,Medium / Medium
Chory Castro,Left Wing,Uruguay,33,Málaga CF,"1,50 Mill. ","1,50 Mill. ",29,3,1792,1.792,0.03,1,,http://www.futhead.com/18/players/?name=Chory Castro&sort=vote_sum&bin_platform=ps,75,72,70,71,80,37,57,Medium / Medium
Federico Ricca,Left-Back,Uruguay,23,Málaga CF,"1,50 Mill. ","2,50 Mill. ",,,,,,,,http://www.futhead.com/18/players/?name=Federico Ricca&sort=vote_sum&bin_platform=ps,74,72,34,59,60,74,71,High / Medium
Christian Santos,Centre-Forward,Venezuela,29,Deportivo Alavés,"1,50 Mill. ","1,50 Mill. ",21,1,827,276,0.14,3,,http://www.futhead.com/18/players/?name=Christian Santos&sort=vote_sum&bin_platform=ps,73,62,75,68,69,37,67,Medium / Medium
Francisco Portillo,Attacking Midfield,Spain,27,Getafe CF,"1,50 Mill. ","1,50 Mill. ",,,,,,,,http://www.futhead.com/18/players/?name=Francisco Portillo&sort=vote_sum&bin_platform=ps,72,67,63,72,74,52,60,Medium / Medium
Cheick Doukouré,Defensive Midfield,Cote d'Ivoire,25,Levante UD,"1,50 Mill. ","1,60 Mill. ",,,,,,,,http://www.futhead.com/18/players/?name=Cheick Doukouré&sort=vote_sum&bin_platform=ps,72,73,58,65,69,70,77,High / High
Alberto de la Bella,Left-Back,Spain,32,Real Sociedad,"1,20 Mill. ","1,20 Mill. ",,,,,,,,http://www.futhead.com/18/players/?name=Alberto de la Bella&sort=vote_sum&bin_platform=ps,75,60,52,69,69,78,68,High / Medium
Jason,Right Wing,Spain,23,Levante UD,"1,20 Mill. ","1,00 Mill. ",,,,,,,,http://www.futhead.com/18/players/?name=Jason&sort=vote_sum&bin_platform=ps,74,75,42,57,65,74,73,Medium / Medium
Axel Werner,Keeper,Argentina,21,Atlético Madrid,"1,00 Mill. ","1,00 Mill. ",2,0,180,,0,0,0,http://www.futhead.com/18/players/?name=Axel Werner&sort=vote_sum&bin_platform=ps,69,78,67,74,70,41,64,No
Fran Rico,Central Midfield,Spain,30,SD Eibar,"1,00 Mill. ","2,50 Mill. ",17,1,1226,613,0.12,2,,http://www.futhead.com/18/players/?name=Fran Rico&sort=vote_sum&bin_platform=ps,76,58,66,76,70,70,71,Medium / Medium
Nicolás Pareja,Centre-Back,Argentina,33,Sevilla FC,"1,00 Mill. ","1,00 Mill. ",27,1,2165,2.165,0.04,1,,http://www.futhead.com/18/players/?name=Nicolás Pareja&sort=vote_sum&bin_platform=ps,79,38,60,70,66,79,69,Medium / Medium
Sasa Lukic,Central Midfield,Serbia,21,Levante UD,"1,00 Mill. ","2,20 Mill. ",,,,,,,,http://www.futhead.com/18/players/?name=Sasa Lukic&sort=vote_sum&bin_platform=ps,70,72,60,70,73,65,65,Medium / Medium
Mitchell Langerak,Keeper,Australia,29,Levante UD,"1,00 Mill. ","1,50 Mill. ",,,,,,,,http://www.futhead.com/18/players/?name=Mitchell Langerak&sort=vote_sum&bin_platform=ps,,,,,,,,
Diego López,Keeper,Spain,36,RCD Espanyol Barcelona,"1,00 Mill. ","1,00 Mill. ",35,0,3113,,0,0,11,http://www.futhead.com/18/players/?name=Diego López&sort=vote_sum&bin_platform=ps,83,77,84,76,80,34,83,No
Roger Martí,Centre-Forward,Spain,26,Levante UD,"1,50 Mill. ","2,50 Mill. ",,,,,,,,http://www.futhead.com/18/players/?name=Roger Martí&sort=vote_sum&bin_platform=ps,76,81,75,61,74,30,72,High / Medium
Emmanuel Boateng,Centre-Forward,Ghana,21,Levante UD,"1,50 Mill. ","2,00 Mill. ",,,,,,,,http://www.futhead.com/18/players/?name=Emmanuel Boateng&sort=vote_sum&bin_platform=ps,72,81,69,56,74,34,72,High / High
Robert Ibáñez,Right Wing,Spain,24,Valencia CF,"1,50 Mill. ","1,50 Mill. ",5,1,167,84,0.4,2,,http://www.futhead.com/18/players/?name=Robert Ibáñez&sort=vote_sum&bin_platform=ps,72,76,67,70,75,47,50,High / Medium
Rubén Martínez,Keeper,Spain,33,Deportivo de La Coruña,"1,50 Mill. ",900 Th. ,,,,,,,,http://www.futhead.com/18/players/?name=Rubén Martínez&sort=vote_sum&bin_platform=ps,,,,,,,,
Yoel Rodríguez,Keeper,Spain,29,SD Eibar,"1,50 Mill. ","2,50 Mill. ",,,,,,,,http://www.futhead.com/18/players/?name=Yoel Rodríguez&sort=vote_sum&bin_platform=ps,,,,,,,,
Omar,Right Wing,Spain,29,CD Leganés,"1,20 Mill. ","1,50 Mill. ",,,,,,,,http://www.futhead.com/18/players/?name=Omar&sort=vote_sum&bin_platform=ps,78,73,79,68,73,40,77,High / Low
Miguel Ángel Guerrero,Centre-Forward,Spain,27,CD Leganés,"1,20 Mill. ","1,50 Mill. ",31,1,2146,429,0.16,5,,http://www.futhead.com/18/players/?name=Miguel Ángel Guerrero&sort=vote_sum&bin_platform=ps,74,70,73,61,68,36,68,High / Medium
Aleksandar Katai,Right Wing,Serbia,26,Deportivo Alavés,"1,00 Mill. ","2,00 Mill. ",20,3,770,257,0.15,3,,http://www.futhead.com/18/players/?name=Aleksandar Katai&sort=vote_sum&bin_platform=ps,74,65,74,73,78,36,64,Medium / Low
Alin Tosca,Left-Back,Romania,25,Real Betis Balompié,"1,00 Mill. ","2,00 Mill. ",,,,,,,,http://www.futhead.com/18/players/?name=Alin Tosca&sort=vote_sum&bin_platform=ps,70,73,45,60,58,70,67,Medium / Medium
Esteban Rolón,Defensive Midfield,Argentina,22,Málaga CF,"1,00 Mill. ",75 Th. ,,,,,,,,http://www.futhead.com/18/players/?name=Esteban Rolón&sort=vote_sum&bin_platform=ps,,,,,,,,
Tito,Right-Back,Spain,32,CD Leganés,"1,00 Mill. ","2,50 Mill. ",,,,,,,,http://www.futhead.com/18/players/?name=Tito&sort=vote_sum&bin_platform=ps,73,71,45,65,68,71,68,Medium / Medium
Mubarak Wakaso,Central Midfield,Ghana,27,Deportivo Alavés,"1,00 Mill. ","1,00 Mill. ",11,1,869,869,0.09,1,,http://www.futhead.com/18/players/?name=Mubarak Wakaso&sort=vote_sum&bin_platform=ps,75,89,64,71,74,63,78,High / High
Antonio Rukavina,Right-Back,Serbia,33,Villarreal CF,"1,00 Mill. ","1,50 Mill. ",,,,,,,,http://www.futhead.com/18/players/?name=Antonio Rukavina&sort=vote_sum&bin_platform=ps,77,74,48,69,68,76,72,High / Medium
Sergio Sánchez,Centre-Back,Spain,31,RCD Espanyol Barcelona,"1,00 Mill. ","1,00 Mill. ",,,,,,,,http://www.futhead.com/18/players/?name=Sergio Sánchez&sort=vote_sum&bin_platform=ps,74,67,52,58,57,74,78,Medium / Medium
Adrián Marín,Left-Back,Spain,20,Villarreal CF,"1,00 Mill. ","1,00 Mill. ",,,,,,,,http://www.futhead.com/18/players/?name=Adrián Marín&sort=vote_sum&bin_platform=ps,73,73,45,63,70,69,72,Medium / Medium
Alex Alegría,Centre-Forward,Spain,25,Levante UD,"1,00 Mill. ","2,00 Mill. ",25,2,1431,477,0.12,3,,http://www.futhead.com/18/players/?name=Alex Alegría&sort=vote_sum&bin_platform=ps,75,57,74,51,70,27,69,Medium / Medium
Javi López,Right-Back,Spain,31,RCD Espanyol Barcelona,"1,00 Mill. ","2,00 Mill. ",,,,,,,,http://www.futhead.com/18/players/?name=Javi López&sort=vote_sum&bin_platform=ps,76,72,53,69,72,73,74,Medium / Medium
Álvaro Vázquez,Centre-Forward,Spain,26,RCD Espanyol Barcelona,"1,00 Mill. ","1,50 Mill. ",,,,,,,,http://www.futhead.com/18/players/?name=Álvaro Vázquez&sort=vote_sum&bin_platform=ps,73,69,75,59,73,31,68,High / High
Hernán Toledo,Left Wing,Argentina,21,UD Las Palmas,"1,00 Mill. ","2,00 Mill. ",,,,,,,,http://www.futhead.com/18/players/?name=Hernán Toledo&sort=vote_sum&bin_platform=ps,72,80,68,66,76,49,68,Medium / Medium
Raúl García,Left-Back,Spain,28,CD Leganés,"1,00 Mill. ","1,00 Mill. ",36,4,2884,288,0.28,10,,http://www.futhead.com/18/players/?name=Raúl García&sort=vote_sum&bin_platform=ps,81,57,76,82,77,66,76,High / Medium
Aleix García,Defensive Midfield,Spain,20,Girona FC,"1,00 Mill. ","1,00 Mill. ",,,,,,,,http://www.futhead.com/18/players/?name=Aleix García&sort=vote_sum&bin_platform=ps,70,66,61,70,72,58,53,Medium / Medium
Carles Planas,Left-Back,Spain,26,Girona FC,"1,00 Mill. ","1,50 Mill. ",,,,,,,,http://www.futhead.com/18/players/?name=Carles Planas&sort=vote_sum&bin_platform=ps,74,75,38,63,68,71,70,Medium / Medium
Aritz Aduriz,Centre-Forward,Spain,36,Athletic Bilbao,"1,00 Mill. ","1,00 Mill. ",32,1,2429,152,0.5,16,,http://www.futhead.com/18/players/?name=Aritz Aduriz&sort=vote_sum&bin_platform=ps,84,70,83,64,76,46,79,High / Medium
David Simón,Right-Back,Spain,29,UD Las Palmas,"1,00 Mill. ","1,50 Mill. ",,,,,,,,http://www.futhead.com/18/players/?name=David Simón&sort=vote_sum&bin_platform=ps,74,77,46,66,70,70,71,High / Medium
Samu García,Right Wing,Spain,27,Levante UD,"1,00 Mill. ","2,00 Mill. ",,,,,,,,http://www.futhead.com/18/players/?name=Samu García&sort=vote_sum&bin_platform=ps,75,78,68,73,74,28,62,Medium / Medium
Dídac Vilà,Left-Back,Spain,28,RCD Espanyol Barcelona,"1,00 Mill. ","1,00 Mill. ",,,,,,,,http://www.futhead.com/18/players/?name=Dídac Vilà&sort=vote_sum&bin_platform=ps,72,74,47,62,67,72,76,High / Medium
Bruno Gama,Right Wing,Portugal,30,Deportivo de La Coruña,"1,00 Mill. ","1,50 Mill. ",,,,,,,,http://www.futhead.com/18/players/?name=Bruno Gama&sort=vote_sum&bin_platform=ps,74,73,68,74,76,41,59,Medium / Low
Oier Olazábal,Keeper,Spain,28,Levante UD,"1,00 Mill. ",400 Th. ,,,,,,,,http://www.futhead.com/18/players/?name=Oier Olazábal&sort=vote_sum&bin_platform=ps,,,,,,,,
Marc Navarro,Right-Back,Spain,22,RCD Espanyol Barcelona,"1,00 Mill. ","1,00 Mill. ",12,2,789,395,0.17,2,,http://www.futhead.com/18/players/?name=Marc Navarro&sort=vote_sum&bin_platform=ps,71,68,56,67,63,70,68,High / Medium
Andrés Fernández,Keeper,Spain,31,Villarreal CF,"1,00 Mill. ","1,50 Mill. ",,,,,,,,http://www.futhead.com/18/players/?name=Andrés Fernández&sort=vote_sum&bin_platform=ps,,,,,,,,
Marc Roca,Central Midfield,Spain,21,RCD Espanyol Barcelona,"1,00 Mill. ","2,00 Mill. ",,,,,,,,http://www.futhead.com/18/players/?name=Marc Roca&sort=vote_sum&bin_platform=ps,74,56,56,72,71,69,66,Medium / Medium
Rubén Duarte,Left-Back,Spain,22,Deportivo Alavés,"1,00 Mill. ","1,00 Mill. ",,,,,,,,http://www.futhead.com/18/players/?name=Rubén Duarte&sort=vote_sum&bin_platform=ps,72,68,34,61,63,72,68,Medium / Medium
Óscar Duarte,Centre-Back,Costa Rica,28,RCD Espanyol Barcelona,"1,00 Mill. ","2,00 Mill. ",,,,,,,,http://www.futhead.com/18/players/?name=Óscar Duarte&sort=vote_sum&bin_platform=ps,77,65,31,52,54,78,72,Medium / Medium
Miguel Torres,Right-Back,Spain,31,Málaga CF,"1,00 Mill. ","2,00 Mill. ",,,,,,,,http://www.futhead.com/18/players/?name=Miguel Torres&sort=vote_sum&bin_platform=ps,75,59,36,64,64,78,74,Low / High
Javi Fuego,Defensive Midfield,Spain,33,RCD Espanyol Barcelona,"1,00 Mill. ","1,50 Mill. ",31,0,2566,2.566,0.03,1,,http://www.futhead.com/18/players/?name=Javi Fuego&sort=vote_sum&bin_platform=ps,80,56,60,72,68,78,78,Medium / High
Pedro Alcalá,Centre-Back,Spain,28,Girona FC,"1,00 Mill. ","1,00 Mill. ",,,,,,,,http://www.futhead.com/18/players/?name=Pedro Alcalá&sort=vote_sum&bin_platform=ps,74,44,48,59,54,74,80,Medium / Medium
Andrew Hjulsager,Central Midfield,Denmark,22,Celta de Vigo,"1,00 Mill. ","1,20 Mill. ",7,0,259,259,0.14,1,,http://www.futhead.com/18/players/?name=Andrew Hjulsager&sort=vote_sum&bin_platform=ps,67,79,62,64,69,45,66,Medium / Medium
Erik Morán,Defensive Midfield,Spain,26,CD Leganés,900 Th. ,"1,00 Mill. ",,,,,,,,http://www.futhead.com/18/players/?name=Erik Morán&sort=vote_sum&bin_platform=ps,72,41,47,68,67,67,71,Medium / Medium
Zdravko Kuzmanovi?,Central Midfield,Serbia,30,Málaga CF,800 Th. ,"1,00 Mill. ",,,,,,,,http://www.futhead.com/18/players/?name=Zdravko Kuzmanovi?&sort=vote_sum&bin_platform=ps,74,44,68,74,68,70,72,Medium / Medium
Gerard Gumbau,Central Midfield,Spain,23,CD Leganés,800 Th. ,700 Th. ,,,,,,,,http://www.futhead.com/18/players/?name=Gerard Gumbau&sort=vote_sum&bin_platform=ps,70,35,57,69,62,66,65,Medium / Medium
Unai Bustinza,Right-Back,Spain,25,CD Leganés,800 Th. ,"1,00 Mill. ",,,,,,,,http://www.futhead.com/18/players/?name=Unai Bustinza&sort=vote_sum&bin_platform=ps,73,70,35,61,62,73,73,Medium / Medium
Mehdi Lacen,Defensive Midfield,Algeria,33,Getafe CF,800 Th. ,"1,50 Mill. ",,,,,,,,http://www.futhead.com/18/players/?name=Mehdi Lacen&sort=vote_sum&bin_platform=ps,73,56,58,72,71,67,72,Medium / High
Emiliano Martínez,Keeper,Argentina,25,Getafe CF,800 Th. ,"1,00 Mill. ",,,,,,,,http://www.futhead.com/18/players/?name=Emiliano Martínez&sort=vote_sum&bin_platform=ps,,,,,,,,
Dani Pacheco,Left Wing,Spain,26,Getafe CF,800 Th. ,"1,00 Mill. ",,,,,,,,http://www.futhead.com/18/players/?name=Dani Pacheco&sort=vote_sum&bin_platform=ps,74,74,66,72,80,30,61,High / Low
Filip Manojlovic,Keeper,Serbia,21,Getafe CF,800 Th. ,"1,20 Mill. ",,,,,,,,http://www.futhead.com/18/players/?name=Filip Manojlovic&sort=vote_sum&bin_platform=ps,,,,,,,,
Mariano Barbosa,Keeper,Argentina,33,Villarreal CF,"1,00 Mill. ",600 Th. ,,,,,,,,http://www.futhead.com/18/players/?name=Mariano Barbosa&sort=vote_sum&bin_platform=ps,,,,,,,,
Rafa Navarro,Right-Back,Spain,23,Real Betis Balompié,"1,00 Mill. ","1,50 Mill. ",18,2,1288,644,0.11,2,,http://www.futhead.com/18/players/?name=Rafa Navarro&sort=vote_sum&bin_platform=ps,70,79,44,60,67,68,50,High / Medium
Rubén Peña,Right Wing,Spain,26,SD Eibar,"1,00 Mill. ","1,50 Mill. ",28,0,1050,1.05,0.04,1,,http://www.futhead.com/18/players/?name=Rubén Peña&sort=vote_sum&bin_platform=ps,73,86,70,65,75,57,64,Medium / Medium
Jon Ander Serantes,Keeper,Spain,28,CD Leganés,"1,00 Mill. ","1,50 Mill. ",,,,,,,,http://www.futhead.com/18/players/?name=Jon Ander Serantes&sort=vote_sum&bin_platform=ps,,,,,,,,
Mathí­as Olivera,Left-Back,Uruguay,20,Getafe CF,800 Th. ,800 Th. ,,,,,,,,http://www.futhead.com/18/players/?name=Mathí­as Olivera&sort=vote_sum&bin_platform=ps,67,63,24,53,53,66,59,Medium / Medium
Iván Cuéllar,Keeper,Spain,33,CD Leganés,800 Th. ,800 Th. ,,,,,,,,http://www.futhead.com/18/players/?name=Iván Cuéllar&sort=vote_sum&bin_platform=ps,,,,,,,,
Youssef En-Nesyri,Centre-Forward,Morocco,20,Málaga CF,800 Th. ,"1,00 Mill. ",13,1,322,322,0.08,1,,http://www.futhead.com/18/players/?name=Youssef En-Nesyri&sort=vote_sum&bin_platform=ps,69,76,68,49,68,30,51,Medium / Medium
Alberto Aquilani,Central Midfield,Italy,33,UD Las Palmas,800 Th. ,"1,00 Mill. ",,,,,,,,http://www.futhead.com/18/players/?name=Alberto Aquilani&sort=vote_sum&bin_platform=ps,75,54,70,80,75,60,62,Medium / Medium
Bruno González,Centre-Back,Spain,27,Getafe CF,800 Th. ,"1,00 Mill. ",16,0,1330,1.33,0.06,1,,http://www.futhead.com/18/players/?name=Bruno González&sort=vote_sum&bin_platform=ps,77,37,33,48,46,78,81,Medium / Medium
Javi Castellano,Defensive Midfield,Spain,30,UD Las Palmas,700 Th. ,400 Th. ,,,,,,,,http://www.futhead.com/18/players/?name=Javi Castellano&sort=vote_sum&bin_platform=ps,73,56,40,65,56,72,72,Low / High
Hernán,Central Midfield,Spain,27,UD Las Palmas,700 Th. ,800 Th. ,,,,,,,,http://www.futhead.com/18/players/?name=Hernán&sort=vote_sum&bin_platform=ps,75,84,56,63,74,72,76,Medium / Medium
Borja Valle,Left Wing,Spain,25,Deportivo de La Coruña,700 Th. ,700 Th. ,,,,,,,,http://www.futhead.com/18/players/?name=Borja Valle&sort=vote_sum&bin_platform=ps,71,76,67,64,73,38,54,High / Medium
Carlos Martínez,Right-Back,Spain,31,Real Sociedad,600 Th. ,"1,00 Mill. ",,,,,,,,http://www.futhead.com/18/players/?name=Carlos Martínez&sort=vote_sum&bin_platform=ps,76,61,51,71,66,77,67,High / High
Nano,Centre-Forward,Spain,22,Levante UD,600 Th. ,700 Th. ,6,0,156,156,0.17,1,,http://www.futhead.com/18/players/?name=Nano&sort=vote_sum&bin_platform=ps,79,87,68,78,81,24,45,High / High
Przemyslaw Tyton,Keeper,Poland,30,Deportivo de La Coruña,600 Th. ,"1,00 Mill. ",,,,,,,,http://www.futhead.com/18/players/?name=Przemyslaw Tyton&sort=vote_sum&bin_platform=ps,,,,,,,,
Saúl García,Left-Back,Spain,23,Deportivo de La Coruña,600 Th. ,800 Th. ,,,,,,,,http://www.futhead.com/18/players/?name=Saúl García&sort=vote_sum&bin_platform=ps,68,69,45,64,62,64,60,High / Medium
Asier Riesgo,Keeper,Spain,34,SD Eibar,500 Th. ,"1,00 Mill. ",,,,,,,,http://www.futhead.com/18/players/?name=Asier Riesgo&sort=vote_sum&bin_platform=ps,,,,,,,,
Martín Mantovani,Centre-Back,Argentina,33,CD Leganés,500 Th. ,800 Th. ,31,0,2698,2.698,0.03,1,,http://www.futhead.com/18/players/?name=Martín Mantovani&sort=vote_sum&bin_platform=ps,75,39,42,56,60,74,82,High / Medium
Mamadou Koné,Centre-Forward,Cote d'Ivoire,26,CD Leganés,500 Th. ,500 Th. ,,,,,,,,http://www.futhead.com/18/players/?name=Mamadou Koné&sort=vote_sum&bin_platform=ps,69,78,68,54,72,25,69,High / Low
Aythami Artiles,Centre-Back,Spain,31,UD Las Palmas,700 Th. ,"1,00 Mill. ",11,0,836,,0,0,,http://www.futhead.com/18/players/?name=Aythami Artiles&sort=vote_sum&bin_platform=ps,76,37,41,57,53,77,78,High / Medium
Ignasi Miquel,Centre-Back,Spain,25,Málaga CF,700 Th. ,700 Th. ,33,1,2853,1427,0.06,2,,http://www.futhead.com/18/players/?name=Ignasi Miquel&sort=vote_sum&bin_platform=ps,69,66,28,53,58,69,73,Low / High
Iván López,Right-Back,Spain,24,Levante UD,600 Th. ,800 Th. ,17,1,785,,0,0,,http://www.futhead.com/18/players/?name=Iván López&sort=vote_sum&bin_platform=ps,71,82,68,64,72,31,63,Medium / Medium
Nicolás Gorosito,Centre-Back,Argentina,29,Getafe CF,600 Th. ,800 Th. ,22,0,1667,1667,0.03,1,,http://www.futhead.com/18/players/?name=Nicolás Gorosito&sort=vote_sum&bin_platform=ps,72,68,50,60,55,71,74,Medium / Medium
Oscar Melendo,Attacking Midfield,Spain,20,RCD Espanyol Barcelona,600 Th. ,500 Th. ,11,0,297,,0,0,,http://www.futhead.com/18/players/?name=Oscar Melendo&sort=vote_sum&bin_platform=ps,70,66,62,65,71,49,60,Medium / Medium
Jorge Molina,Centre-Forward,Spain,35,Getafe CF,500 Th. ,500 Th. ,39,6,3235,162,0.51,20,,http://www.futhead.com/18/players/?name=Jorge Molina&sort=vote_sum&bin_platform=ps,73,32,76,57,60,37,81,Medium / Medium
Marlos Moreno,Left Wing,Colombia,21,Girona FC,500 Th. ,"1,00 Mill. ",18,0,792,,0,0,,http://www.futhead.com/18/players/?name=Marlos Moreno&sort=vote_sum&bin_platform=ps,72,88,64,63,77,24,52,High / High
Gerard Valentín,Right-Back,Spain,24,Deportivo de La Coruña,500 Th. ,"1,00 Mill. ",33,3,2484,,0,0,,http://www.futhead.com/18/players/?name=Gerard Valentín&sort=vote_sum&bin_platform=ps,71,92,36,63,76,63,66,High / Medium
Rubén Sobrino,Centre-Forward,Spain,25,Deportivo Alavés,500 Th. ,500 Th. ,11,1,501,251,0.18,2,,http://www.futhead.com/18/players/?name=Rubén Sobrino&sort=vote_sum&bin_platform=ps,70,81,64,58,78,27,62,Medium / Medium
Joaquín,Right Wing,Spain,36,Real Betis Balompié,500 Th. ,500 Th. ,28,4,1678,559,0.11,3,,http://www.futhead.com/18/players/?name=Joaquín&sort=vote_sum&bin_platform=ps,82,82,74,81,86,23,51,High / Medium
Héctor Hernández,Left-Back,Spain,26,Deportivo Alavés,400 Th. ,600 Th. ,13,2,913,,0,0,,http://www.futhead.com/18/players/?name=Héctor Hernández&sort=vote_sum&bin_platform=ps,71,79,45,61,73,68,68,High / Medium
Farid Boulaya,Attacking Midfield,Algeria,24,Girona FC,400 Th. ,800 Th. ,2,0,18,,0,0,,http://www.futhead.com/18/players/?name=Farid Boulaya&sort=vote_sum&bin_platform=ps,70,79,65,66,74,36,51,High / Medium
Enric Saborit,Left-Back,Spain,25,Athletic Bilbao,400 Th. ,500 Th. ,9,0,460,,0,0,,http://www.futhead.com/18/players/?name=Enric Saborit&sort=vote_sum&bin_platform=ps,69,71,47,62,65,68,75,High / Medium
Fernando Navarro,Left-Back,Spain,35,Deportivo de La Coruña,300 Th. ,500 Th. ,25,0,2050,,0,0,,http://www.futhead.com/18/players/?name=Fernando Navarro&sort=vote_sum&bin_platform=ps,71,85,58,64,68,66,61,High / High
Eloi Amagat,Attacking Midfield,Spain,32,Girona FC,200 Th. ,400 Th. ,16,0,623,,0,0,,http://www.futhead.com/18/players/?name=Eloi Amagat&sort=vote_sum&bin_platform=ps,67,45,61,66,68,55,66,Medium / Medium
Sergio Mora,Central Midfield,Spain,38,Getafe CF,100 Th. ,100 Th. ,19,0,1624,,0,0,,http://www.futhead.com/18/players/?name=Sergio Mora&sort=vote_sum&bin_platform=ps,70,41,63,76,61,60,68,Medium / Medium
David García,Centre-Back,Spain,35,UD Las Palmas,100 Th. ,100 Th. ,22,1,1645,1.645,0.05,1,,http://www.futhead.com/18/players/?name=David García&sort=vote_sum&bin_platform=ps,75,62,36,60,64,73,76,Medium / Medium
David García,Centre-Back,Spain,35,UD Las Palmas,100 Th. ,100 Th. ,25,0,2189,2.189,0.04,1,,http://www.futhead.com/18/players/?name=David García&sort=vote_sum&bin_platform=ps,75,62,36,60,64,73,76,Medium / Medium
Iván Ramis,Centre-Back,Spain,33,SD Eibar,500 Th. ,"1,00 Mill. ",22,0,1721,574,0.14,3,,http://www.futhead.com/18/players/?name=Iván Ramis&sort=vote_sum&bin_platform=ps,77,38,61,63,59,77,83,Medium / High
Pedro López,Right-Back,Spain,34,Levante UD,400 Th. ,500 Th. ,34,1,2825,,0,0,,http://www.futhead.com/18/players/?name=Pedro López&sort=vote_sum&bin_platform=ps,60,53,31,42,43,61,62,Medium / Medium
Jairo Morillas,Centre-Forward,Spain,24,RCD Espanyol Barcelona,300 Th. ,300 Th. ,18,0,795,398,0.11,2,,http://www.futhead.com/18/players/?name=Jairo Morillas&sort=vote_sum&bin_platform=ps,67,72,68,45,62,31,61,High / Medium
Daniele Bonera,Centre-Back,Italy,36,Villarreal CF,200 Th. ,200 Th. ,6,0,540,,0,0,,http://www.futhead.com/18/players/?name=Daniele Bonera&sort=vote_sum&bin_platform=ps,77,34,38,52,48,80,68,Low / High
Momo,Left Wing,Spain,35,UD Las Palmas,100 Th. ,100 Th. ,23,0,1239,413,0.13,3,,http://www.futhead.com/18/players/?name=Momo&sort=vote_sum&bin_platform=ps,48,54,46,36,45,20,44,High / High
Felipe Gutiérrez,Central Midfield,Chile,27,Real Betis Balompié,"2,50 Mill. ","2,50 Mill. ",14,0,753,753,0.07,1,,http://www.futhead.com/18/players/?name=Felipe Gutiérrez&sort=vote_sum&bin_platform=ps,75,68,68,74,75,60,62,Medium / Medium
Rubén Castro,Centre-Forward,Spain,36,Real Betis Balompié,900 Th. ,"1,00 Mill. ",35,3,2782,214,0.37,13,,http://www.futhead.com/18/players/?name=Rubén Castro&sort=vote_sum&bin_platform=ps,81,78,80,65,83,23,64,Medium / Low
Gabriel Peñalba,Central Midfield,Argentina,33,UD Las Palmas,"1,20 Mill. ","1,20 Mill. ",15,2,1228,307,0.26,4,,http://www.futhead.com/18/players/?name=Gabriel Peñalba&sort=vote_sum&bin_platform=ps,74,46,68,72,72,68,80,Medium / Medium
Manuel Iturra,Defensive Midfield,Chile,33,Málaga CF,"1,50 Mill. ","1,50 Mill. ",15,1,1350,,0,0,,http://www.futhead.com/18/players/?name=Manuel Iturra&sort=vote_sum&bin_platform=ps,72,61,45,64,67,69,71,Medium / High
Diego Costa,Centre-Forward,Spain,29,Atlético Madrid,"50,00 Mill. ","50,00 Mill. ",35,8,3090,155,0.57,20,,http://www.futhead.com/18/players/?name=Diego Costa&sort=vote_sum&bin_platform=ps,86,75,83,65,76,40,88,High / Medium
